# Mass Balance;  Grosser Aletsch; 5; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231122 ;   reference ; http://www.glamos.ch
        NMF   19120909 1200   19130920 1200  376.0  0   647166.0 150081.0  2850.0   4  -160   700   4  -1120   2   6  1094  1085   134   0  glrep
       NMG1   19120924 1200   19130920 1200  361.0  0   647089.0 150780.0  2802.0   4   110   539   6    592   4   6   873   870    71   0  glrep
        NMK   19120914 1200   19130920 1200  371.0  3   646935.0 149232.0  2658.3   4    10   539   6     53   2   6   833   832     6   0  glrep
        NMS   19120926 1200   19130920 1200  359.0  0   647243.0 150364.0  2759.8   4    10   539   6     53   2   6   849   849     6   0  glrep
       NMT1   19120925 1200   19130920 1200  360.0  0   645782.0 150780.0  2741.1   4   120   539   6    646   4   6   873   870    77   0  glrep
        NMF   19130914 1200   19140914 1200  365.0  0   647166.0 150081.0  2850.0   4   280   539   6   1509   2   6   869   849   181   0  glrep
       NMG1   19130914 1200   19140914 1200  365.0  0   647089.0 150780.0  2802.0   4   350   539   6   1886   2   6   879   849   226   0  glrep
        NMS   19130914 1200   19140914 1200  365.0  0   647243.0 150364.0  2759.8   4    50   539   6    269   2   6   850   849    32   0  glrep
       NMT2   19130914 1200   19140914 1200  365.0  0   644348.0 152762.0  2909.0   4   150   539   6    808   2   6   855   849    97   0  glrep
        NMF   19140914 1200   19150914 1200  365.0  0   647166.0 150081.0  2850.0   4   160   539   6    862   2   6   856   849   103   0  glrep
       NMG1   19140914 1200   19150914 1200  365.0  0   647089.0 150780.0  2802.0   4  -100   650   4   -650   2   6  1015  1012    77   0  glrep
       NMG2   19140914 1200   19150914 1200  365.0  0   646565.0 150778.0  2733.1   4  -120   800   4   -960   2   6  1239  1233   115   0  glrep
        NMS   19140914 1200   19150914 1200  365.0  0   647243.0 150364.0  2759.8   4     0   518   6      0   2   6   819   819     0   0  glrep
       NMT2   19140914 1200   19150914 1200  365.0  0   644348.0 152762.0  2909.0   4   150   539   6    808   2   6   855   849    97   0  glrep
        NMF   19150914 1200   19160914 1200  366.0  0   647166.0 150081.0  2850.0   4   320   539   6   1724   2   6   874   849   206   0  glrep
       NMG1   19150914 1200   19160914 1200  366.0  0   647089.0 150780.0  2802.0   4   -50   700   4   -350   2   6  1086  1085    41   0  glrep
       NMG2   19150914 1200   19160914 1200  366.0  0   646565.0 150778.0  2733.1   4    20   539   6    107   2   6   850   849    12   0  glrep
        NMK   19150914 1200   19160914 1200  366.0  0   646935.0 149232.0  2658.3   4   150   539   6    808   2   6   855   849    97   0  glrep
