X,Y,Alt,Annual_SMB (m w.e.)
343249.0669,5091995.547,2377.191667,-5.201666667
343234.7108,5091930.764,2378.065,-5.29
343153.2661,5091883.18,2373.773333,-4.995
343090.2128,5091788.98,2369.46,-4.508333333
343028.9401,5091759.365,2365.6075,-4.121666667
344083.8042,5090800.822,2537.459375,-3.7975
343983.9047,5090745.368,2532.704375,-3.4925
343895.1638,5090696.056,2527.579375,-3.71125
343790.5156,5090617.956,2528.991429,-3.318333333
343722.021,5090595.781,2530.713125,-2.211458333
345672.872,5089460.587,2722.413,-2.118
345607.1494,5089390.936,2718.468,-1.8845
345521.4539,5089308.188,2710.0325,-1.616
345476.5482,5089254.079,2707.393333,-1.443888889
345437.3756,5089188.479,2711.72,-1.464285714
344902.3151,5089624.174,2658.648,-2.037
345035.5935,5089545.636,2668.844,-1.9245
345332.2388,5089394.7,2695.049,-1.668
345637.1409,5089266.083,2720.394444,-1.584444444
345741.0164,5089199.572,2728.8665,-1.59
345900.0178,5089083.727,2742.695,-1.4135
347527.5361,5087819.781,2976.781111,0.847777778
347103.6052,5088245.5,2923.661429,0.434285714
346531.9398,5088405.455,2881.411667,0.555
347004.2274,5087942.439,2925.568333,0.596666667
