X,Y,Alt,Annual_SMB (m w.e.),Year
367553.7532804126,5095440.834277128,2365.8,-1.8784285714285716,2020
367567.5400091759,5095445.363857055,2376.7,-3.116729827089337,2019
367560.3063934102,5095448.704948632,2386.1,-3.28725,2018
367567.0089800325,5095443.774469091,2387.0,-3.5326980000000003,2018
367761.03674356756,5095497.669989104,2389.7,-5.2277021563342325,2020
367756.9547363892,5095493.45045955,2402.7,-5.693479106628242,2019
367437.99836477364,5095386.107030764,2402.8,-2.3037331536388144,2020
367556.51640821324,5095444.079755791,2403.1,-5.0586635388739944,2016
367558.8721340237,5095441.833967905,2409.7,-3.552350806451613,2015
367759.9649053009,5095493.991476291,2410.3,-6.04854,2018
367434.8550018789,5095383.868851251,2411.9,-4.206164265129684,2019
367759.14164615923,5095497.907042596,2416.5,-6.392380886426592,2017
367431.127381419,5095387.5412869565,2416.7,-3.918402,2018
367427.30503644736,5095406.813418937,2418.7,-3.642382271468144,2017
367756.9703817777,5095494.250042163,2423.4,-5.8870857908847185,2016
367560.1714564695,5095441.808545023,2423.9,-4.409510080645161,2012
367560.1714564695,5095441.808545023,2423.9,-3.779863832853026,2013
367664.4138599278,5095470.264660865,2423.9,-4.709957661290322,2015
367560.1714564695,5095441.808545023,2423.9,-5.259600000000001,2014
367420.3382301271,5095403.350227737,2424.0,-3.1109899463806974,2016
367403.92721591506,5095402.671459853,2427.3,-3.101679435483871,2015
367554.96634423133,5095441.510445026,2433.9,-4.619226623376624,2011
367671.2120595777,5095475.330920927,2434.3,-5.971086986301369,2014
367671.2120595777,5095475.330920927,2434.3,-4.253530979827089,2013
367404.6600957928,5095404.356885585,2434.7,-3.7375582191780823,2014
367404.6600957928,5095404.356885585,2434.7,-2.7093760806916425,2013
367404.6600957928,5095404.356885585,2434.7,-2.659844758064516,2012
367554.3253772253,5095444.522570653,2439.4,-5.333857438016529,2010
367388.06113306736,5095399.182416052,2443.3,-3.44093961038961,2011
367562.53088154714,5095444.861950251,2444.2,-4.22776875,2009
367562.53088154714,5095444.861950251,2444.2,-4.632855082417583,2008
367387.972918437,5095399.784059141,2448.4,-4.727119834710744,2010
367509.5782689018,5095441.798599943,2451.2,-4.76207027027027,2007
367385.1567765702,5095398.939283197,2452.5,-3.69815625,2009
367385.1567765702,5095398.939283197,2452.5,-3.9645679945054946,2008
367560.3281169586,5095444.705077872,2453.3,-4.7129357734806625,2006
367764.28005465283,5095499.9062074525,2454.6,-5.333857438016529,2010
367774.7330108463,5095461.806948561,2456.3,-6.053662987012987,2011
367376.9002095023,5095401.100552164,2458.6,-3.7581263513513514,2007
367763.96456574945,5095499.112491876,2458.7,-4.77564375,2009
367763.96456574945,5095499.112491876,2458.7,-5.1476167582417585,2008
367382.60527862597,5095396.289577948,2461.0,-3.9592292817679557,2006
