X,Y,Alt,Annual_SMB (m w.e.),Year
409101.9491878698,5095937.86704688,2556.0,-8.622295081967213,2010
408810.350466375,5095954.601457439,2560.0,-7.335953389830509,2004
409105.9269896867,5095936.789030346,2581.0,-7.700025815217391,2011
409094.27826528886,5095802.051593495,2586.0,-7.152982541899441,2009
409028.02518680453,5095788.358810608,2588.0,-7.1788412256267415,2008
409021.91101896495,5095782.48058781,2588.0,-6.717036585365854,2007
408920.88692466734,5095932.4316401,2589.0,-7.335185950413224,2006
408960.4418771766,5095808.683781873,2590.0,-7.271795454545455,2006
408898.2059093209,5095795.91169199,2590.0,-7.642391949152542,2004
408995.7017698223,5095923.96140857,2590.0,-6.930841463414635,2007
408898.9205231124,5095933.863573098,2590.0,-8.121979805013927,2005
408963.243355891,5095798.631135402,2593.0,-7.398601671309192,2005
409525.37831215374,5095812.5648485795,2596.0,-7.098292582417582,2016
409055.939019268,5095936.772791896,2597.0,-7.061159916201117,2009
409428.28260548797,5095806.477266415,2598.0,-6.124191780821918,2013
409743.1576471898,5095753.293469966,2598.0,-6.17714010989011,2019
409568.17402728734,5095802.725037613,2599.0,-7.08091418918919,2017
408998.9948037633,5095938.892916139,2600.0,-7.572578690807799,2008
409687.0521416344,5095782.7903522905,2602.8,-5.872727528089888,2018
409419.3079830303,5095807.653599632,2604.0,-5.7526875,2012
409421.34603943484,5095809.613003485,2609.0,-5.967073369565217,2011
409429.36062313145,5095810.455063395,2612.0,-7.911376044568245,2014
409103.86926965567,5095933.83025735,2613.0,-7.652286885245902,2010
409439.47225273604,5095816.254621862,2613.0,-7.652286885245902,2010
409437.7684706646,5095831.284423997,2614.0,-7.14775340599455,2015
409424.46211352205,5095815.550204388,2629.0,-6.087840083798883,2009
409871.19423369656,5095756.772664177,2640.0,-6.17684879032258,2020
409437.748807446,5095830.285058929,2640.0,-6.134979108635098,2008
409409.5502894598,5095819.842611777,2648.0,-6.281486072423399,2005
409435.4944556848,5095817.332639647,2650.0,-5.933085365853658,2007
409414.6847570813,5095826.7398518305,2650.0,-5.578363636363637,2006
410106.65076759504,5095732.144588057,2664.0,-5.726177419354839,2020
410054.2013833939,5095698.48530547,2664.3,-6.029702949438202,2018
410089.6025961647,5095729.480797361,2670.0,-6.4661291208791205,2019
409424.5014398289,5095817.548934512,2675.0,-5.87804872881356,2004
410039.1660029222,5095757.466505877,2677.0,-5.942336538461539,2016
410055.01463924925,5095699.169128237,2680.0,-6.272428378378377,2017
409976.8353557875,5095790.685008753,2681.0,-5.81106762295082,2010
409985.6329848334,5095780.514390823,2683.0,-4.02688125,2012
409984.69261456083,5095783.532146512,2687.0,-4.948740489130435,2011
