The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.,,,,,,,,,,,
When using these data, please cite as:,,,,,,,,,,
GLAMOS (2025). Swiss Glacier Mass Balance, release 2025, Glacier Monitoring Switzerland, doi:10.18750/massbalance.2025.r2025.,,,,,,,,
,,,,,,,,,,,
SWISS GLACIER MASS BALANCE (OBSERVATION PERIOD) ELEVATION BINS,,,,,,,,,,,
,,,,,,,,,,,
glacier name,glacier id,start date of observation,end date of winter observation,end date of observation,winter mass balance,summer mass balance,annual mass balance,area of elevation bin,lower elevation of bin,upper elevation of bin,observer
,(according to Swiss Glacier Inventory),date_start,date_end_winter,date_end,Bw,Bs,Ba,area,h_min,h_max,
,,yyyy-mm-dd (ISO 8601),yyyy-mm-dd (ISO 8601),yyyy-mm-dd (ISO 8601),mm w.e.,mm w.e.,mm w.e.,km2,m asl.,m asl.,
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,976,-4158,-3182,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1158,-3335,-2177,0.41,2500,2600,2600
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1409,-2318,-909,0.9025,2600,2700,2700
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1521,-1704,-183,0.8925,2700,2800,2800
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1618,-1362,256,0.725,2800,2900,2900
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1603,-993,610,0.58313,2900,3000,3000
Silvrettagletscher,A10g-05,1914-10-01,1915-04-30,1915-09-30,1348,-857,491,0.34625,3000,3100,3100
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1335,-1495,-160,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1472,-1221,251,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1555,-954,601,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1583,-696,887,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1545,-455,1090,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1512,-249,1263,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1915-09-29,1916-05-15,1916-08-05,1323,-175,1148,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1553,-3852,-2299,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1738,-2997,-1259,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1876,-2085,-209,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1953,-888,1065,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1935,-1159,776,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1942,-1169,773,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1916-08-05,1917-03-11,1917-09-07,1730,-1544,186,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,963,-2319,-1356,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,1028,-1704,-676,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,1064,-1152,-88,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,1066,-361,705,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,1029,-542,487,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,997,-233,764,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1917-09-29,1918-03-26,1918-08-16,869,193,1062,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,1851,-2186,-335,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,2045,-1777,268,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,2128,-1380,748,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,2159,-1281,878,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,2159,-793,1366,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,2108,-450,1658,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1918-08-16,1919-05-18,1919-09-07,1830,-206,1624,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2423,-4714,-2291,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2547,-3660,-1113,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2586,-2782,-196,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2574,-2009,565,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2511,-1613,898,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2414,-1230,1184,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1919-09-08,1920-04-26,1920-09-08,2084,-1143,941,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,764,-6462,-5698,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,801,-5504,-4703,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,812,-4393,-3581,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,806,-3380,-2574,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,786,-2423,-1637,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,755,-1600,-845,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1920-09-11,1921-03-28,1921-09-25,652,-1322,-670,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1184,-2306,-1122,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1237,-1666,-429,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1260,-1132,128,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1254,-690,564,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1210,-486,724,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1172,-267,905,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1921-09-25,1922-04-04,1922-10-18,1022,-264,758,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1364,-2214,-850,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1459,-1847,-388,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1504,-1517,-13,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1505,-1223,282,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1457,-1001,456,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1417,-790,627,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1922-10-18,1923-04-30,1923-09-29,1237,-706,531,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1158,-2185,-1027,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1269,-1570,-301,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1348,-1116,232,0.6675,2600,2700,2700
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1382,-835,547,0.89687,2700,2800,2800
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1352,-385,967,0.65187,2800,2900,2900
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1340,-2,1338,0.5825,2900,3000,3000
Silvrettagletscher,A10g-05,1923-09-29,1924-04-22,1924-10-08,1187,170,1357,0.23313,3000,3100,3100
Silvrettagletscher,A10g-05,1924-10-08,1925-04-11,1925-09-17,801,-1938,-1137,0.16813,2400,2500,2500
Silvrettagletscher,A10g-05,1924-10-08,1925-04-11,1925-09-17,875,-1258,-383,0.35563,2500,2600,2600
Silvrettagletscher,A10g-05,1924-10-08,1925-04-11,1925-09-17,921,-806,115,0.6675,2600,2700,2700
