X,Y,Alt,Annual_SMB (m w.e.),Year
452868.22037379496,5158875.485926941,2213.2,-5.830216981132075,2016
452876.2917767882,5158733.154622743,2220.3,-4.557323863636363,2012
452908.8954801564,5158864.580265618,2225.5,-7.3007529069767445,2016
452874.4496952558,5158882.06086154,2227.6,-4.565625,2015
452879.34824712924,5158730.994356495,2229.0,-5.77978021978022,2011
452756.39842182305,5158686.945317342,2230.5,-5.688448787061994,2007
452771.8392383597,5158714.333057411,2231.6,-3.868421270718232,2008
452780.018007352,5158758.661581176,2231.6,-8.117316,2010
452949.7990720525,5158975.945149162,2233.4,-6.352987196765499,2016
452877.74176885304,5158881.695549245,2234.8,-5.298626712328767,2014
452957.868863445,5158929.194392087,2237.8,-7.004518168604651,2016
452791.85547617526,5158740.530164404,2237.8,-6.813238826815643,2009
452885.6893563994,5158879.138216338,2240.4,-3.8890823863636363,2013
452881.59506601206,5158884.418460808,2245.0,-5.453846590909091,2012
452951.6918385063,5158990.704548274,2248.2,-5.275725398936171,2015
452875.8230586571,5158880.733854337,2251.2,-6.637716346153846,2011
452951.7156538848,5158991.9038309455,2254.4,-5.230580136986301,2014
452854.9389574949,5158871.250583157,2254.6,-5.799918103448276,2010
452856.15879676223,5158867.2271745745,2259.0,-5.36004375,2009
452969.9986177193,5159006.337752927,2263.2,-4.5770390625,2013
452953.72835070314,5158992.563720206,2263.2,-6.8826796875,2012
452826.9301904418,5158840.313190228,2264.6,-6.5656394878706195,2007
452954.1340654511,5158992.855602416,2269.4,-6.195201923076923,2011
452939.2391466074,5158977.85450187,2271.6,-5.950215133531158,2010
452943.26595944597,5158969.176289034,2275.9,-5.677169594594595,2009
453009.61279653414,5158992.353780741,2277.0,-5.711823895027624,2011
452928.13585841865,5158977.575092642,2277.7,-5.512046270718232,2008
453031.3766694913,5159197.179783156,2280.9,-6.255521563342318,2016
452922.93641683925,5158967.480420269,2281.2,-5.980845687331536,2007
453016.2523699668,5159009.518407103,2283.5,-6.88131,2010
453131.5399963611,5158974.835612088,2289.9,-6.79365,2010
453099.3469524461,5159231.622715542,2293.2,-6.373824854651163,2016
453133.45147668413,5158970.398550661,2293.5,-5.279800977653631,2009
453171.5002620977,5159255.184769641,2296.1,-8.342352470930233,2016
453030.98867745337,5159212.884292552,2296.3,-5.2349261968085115,2015
453031.4063002396,5159213.775816081,2301.4,-5.111498630136986,2014
453024.23950672883,5159024.0568030225,2304.0,-5.6796375,2009
453036.8871361276,5159212.867138527,2304.5,-4.039540482954546,2013
453038.74630766007,5159210.830625507,2306.5,-4.463936079545454,2012
453029.39505539165,5159344.089245634,2308.6,-7.042742005813953,2016
453063.1418557516,5159407.206107633,2309.1,-5.821356469002695,2016
453117.1357954269,5159362.142813797,2310.0,-7.252973110465116,2016
453037.34246724745,5159215.657526509,2313.3,-6.610623626373626,2011
453037.2087879766,5159213.960527164,2318.6,-6.863778,2010
453059.3234379151,5159426.378052066,2320.6,-5.135842420212765,2015
453038.84624789696,5159210.8286408605,2322.2,-5.3716236033519555,2009
453056.1816271383,5159424.240891432,2325.1,-5.63085410958904,2014
453029.6228233349,5159189.41619926,2326.5,-4.86442115902965,2007
453030.742442243,5159215.58863286,2326.6,-5.1669758287292815,2008
452945.35905506747,5159361.554858907,2329.2,-6.065975138121547,2011
453055.7586217165,5159433.147482054,2329.3,-4.453559659090909,2013
453061.64998408605,5159412.634635973,2329.4,-3.2224309859154934,2012
453091.8521916789,5159367.743873027,2334.6,-5.014626592356688,2010
453269.33136584854,5159454.101069561,2335.1,-6.215093999999999,2010
453055.8287918351,5159431.646393568,2335.7,-5.680440247252747,2011
