# Mass Balance;  Rhone; 1; annual
# name; date0; time0; date1; time1; period; date_quality; x_pos ; y_pos ; z_pos ; position_quality; mb_raw ; density ;  density_quality ; mb_we ; measurement_quality ; measurement_type ; mb_error ; reading_error ; density_error ; error_evaluation_method; source
# (-);  (yyyymmdd); (hhmm) ; (yyyymmdd); (hhmm) ; (d) ; (#) ; (m) ; (m) ; (m a.s.l.) ; (#) ; (cm) ; (kg m-3) ; (#) ; (mm w.e.) ; (#) ; (#) ; (mm w.e.) ; (mm w.e.) ; (mm w.e.) ; (#) ; (-) 
#  GLAMOS / VAW-ETHZ    ; production-date 20231122 ;   reference ; http://www.glamos.ch
         II   18840915 1200   18850909 1200  359.0  3   671995.0 162990.0  2675.0   5  -262   900   1  -2358   1   1   178   174    35   0  merc
        III   18840915 1200   18850909 1200  359.0  3   672167.0 163038.0  2653.0   5  -220   900   1  -1980   1   1   177   174    29   0  merc
         IV   18840915 1200   18850909 1200  359.0  3   672950.0 163075.0  2810.0   3  -305   900   1  -2745   1   1   179   174    41   0  merc
         IX   18840915 1200   18850909 1200  359.0  3   671662.0 164218.0  2965.0   5  -100   900   1   -900   1   1   175   174    13   0  merc
          V   18840915 1200   18850909 1200  359.0  3   673150.0 162950.0  2809.0   3   -90   900   1   -810   1   1   175   174    12   0  merc
         VI   18840915 1200   18850909 1200  359.0  3   673575.0 162850.0  2812.0   3   -20   900   1   -180   1   1   174   174     2   0  merc
       XIII   18840915 1200   18850909 1200  359.0  3   673850.0 164550.0  2948.0   3    -8   900   1    -72   1   1   174   174     1   0  merc
        XIV   18840915 1200   18850909 1200  359.0  3   673075.0 164575.0  2945.0   3    60   539   6    323   1   1   175   171    38   0  merc
         XV   18840915 1200   18850909 1200  359.0  3   673450.0 164700.0  2938.0   3    50   539   6    269   1   1   174   171    32   0  merc
        XVI   18840915 1200   18850909 1200  359.0  3   673850.0 164875.0  2927.0   3   -50   700   4   -350   1   1   177   172    41   0  merc
        XII   18840915 1200   18850911 1200  361.0  3   672650.0 164550.0  2990.0   3    50   539   6    269   1   1   174   171    32   0  merc
         II   18850909 1200   18860916 1200  372.0  1   671995.0 162990.0  2675.0   4  -141   900   1  -1269   1   1    48    45    19   0  merc
        III   18850909 1200   18860916 1200  372.0  1   672167.0 163038.0  2653.0   4    25   900   1    225   1   1    45    45     3   0  merc
         IV   18850909 1200   18860916 1200  372.0  1   672925.0 163025.0  2795.0   3  -234   900   1  -2106   1   1    54    45    31   0  merc
         IX   18850909 1200   18860916 1200  372.0  1   671662.0 164218.0  2965.0   4   140   539   6    754   1   1    94    26    90   0  merc
      ja_dr   18850909 1200   18860916 1200  372.0  1   672200.0 159875.0  2417.0   3  -726   900   1  -6534   1   1   107    45    98   0  merc
      ja_ga   18850909 1200   18860916 1200  372.0  1   672475.0 159875.0  2417.0   3  -341   900   1  -3069   1   1    64    45    46   0  merc
      ja_mi   18850909 1200   18860916 1200  372.0  1   672275.0 159875.0  2417.0   4  -583   900   1  -5247   1   1    90    45    78   0  merc
      ro_dr   18850909 1200   18860916 1200  372.0  1   671950.0 161075.0  2556.0   3  -307   900   1  -2763   1   1    61    45    41   0  merc
      ro_ga   18850909 1200   18860916 1200  372.0  1   672175.0 161075.0  2556.0   3  -308   900   1  -2772   1   1    61    45    41   0  merc
      ro_mi   18850909 1200   18860916 1200  372.0  1   672075.0 161075.0  2556.0   3  -344   900   1  -3096   1   1    64    45    46   0  merc
          V   18850909 1200   18860916 1200  372.0  1   673100.0 162875.0  2800.0   3   100   539   6    539   1   1    70    26    64   0  merc
         VI   18850909 1200   18860916 1200  372.0  1   673525.0 162800.0  2806.0   3    60   539   6    323   1   1    47    26    38   0  merc
       XIII   18850909 1200   18860916 1200  372.0  1   672900.0 164525.0  2942.0   3   360   539   6   1940   1   1   234    26   232   0  merc
        XIV   18850909 1200   18860916 1200  372.0  1   673100.0 164525.0  2940.0   3  -350   800   4  -2800   1   1   338    40   335   0  merc
         XV   18850909 1200   18860916 1200  372.0  1   673475.0 164650.0  2931.0   3   290   539   6   1563   1   1   189    26   187   0  merc
        XVI   18850909 1200   18860916 1200  372.0  1   673850.0 164850.0  2920.0   3   405   539   6   2182   1   1   263    26   261   0  merc
      ve_dr   18850915 1200   18861130 1200  441.0  1   672248.0 158145.0  1859.0   3 -1345   900   1 -12105   1   1   187    45   181   0  merc
      ve_ga   18850915 1200   18861130 1200  441.0  1   672400.0 158100.0  1859.0   3 -1189   900   1 -10701   1   1   166    45   160   0  merc
      ve_mi   18850915 1200   18861130 1200  441.0  1   672150.0 158150.0  1859.0   3 -1337   900   1 -12033   1   1   186    45   180   0  merc
         II   18860915 1200   18870913 1200  363.0  1   671995.0 162990.0  2675.0   4  -424   900   1  -3816   1   1    72    45    57   0  merc
        III   18860915 1200   18870913 1200  363.0  1   672167.0 163038.0  2653.0   4  -180   900   1  -1620   1   1    51    45    24   0  merc
         IX   18860915 1200   18870913 1200  363.0  1   671662.0 164218.0  2965.0   4  -110   700   4   -770   1   1    98    35    92   0  merc
       XIII   18860916 1200   18870914 1200  363.0  1   672925.0 164500.0  2939.0   3    92   539   6    495   1   1    65    26    59   0  merc
        XIV   18860916 1200   18870914 1200  363.0  1   673125.0 164475.0  2936.0   3    55   539   6    296   1   1    44    26    35   0  merc
         XV   18860916 1200   18870914 1200  363.0  1   673475.0 164650.0  2931.0   3    32   539   6    172   1   1    33    26    20   0  merc
        XVI   18860916 1200   18870914 1200  363.0  1   673850.0 164850.0  2920.0   3    10   539   6     53   1   1    27    26     6   0  merc
         IV   18860915 1200   18870915 1200  365.0  1   672850.0 162975.0  2777.0   3  -337   900   1  -3033   1   1    63    45    45   0  merc
          V   18860915 1200   18870915 1200  365.0  1   672950.0 162750.0  2780.0   3  -184   700   4  -1288   1   1   158    35   154   0  merc
         VI   18860915 1200   18870915 1200  365.0  1   673025.0 162800.0  2790.0   3   -70   700   4   -490   1   1    68    35    58   0  merc
      ja_dr   18861026 1200   18871005 1200  344.0  1   672200.0 159875.0  2417.0   4  -413   900   1  -3717   1   1    71    45    55   0  merc
      ja_ga   18861026 1200   18871005 1200  344.0  1   672475.0 159875.0  2417.0   4  -362   900   1  -3258   1   1    66    45    48   0  merc
      ja_mi   18861026 1200   18871005 1200  344.0  1   672275.0 159875.0  2416.0   4  -399   900   1  -3591   1   1    70    45    53   0  merc
      ro_dr   18861026 1200   18871005 1200  344.0  1   671950.0 161075.0  2556.0   4  -114   900   1  -1026   1   1    47    45    15   0  merc
      ro_ga   18861026 1200   18871005 1200  344.0  1   672175.0 161075.0  2556.0   4  -453   900   1  -4077   1   1    75    45    61   0  merc
      ro_mi   18861026 1200   18871005 1200  344.0  1   672075.0 161075.0  2556.0   4  -159   900   1  -1431   1   1    49    45    21   0  merc
      ve_dr   18861027 1200   18871029 1200  367.0  1   672248.0 158145.0  1855.0   4 -1272   900   1 -11448   1   1   177    45   171   0  merc
      ve_ga   18861027 1200   18871029 1200  367.0  1   672400.0 158100.0  1855.0   4 -1186   900   1 -10674   1   1   166    45   160   0  merc
      ve_mi   18861027 1200   18871029 1200  367.0  1   672150.0 158150.0  1855.0   4 -1192   900   1 -10728   1   1   167    45   160   0  merc
        XIV   18870830 1200   18880828 1200  364.0  1   673150.0 164425.0  2929.0   3   319   539   6   1719   1   1   208    26   206   0  merc
         II   18870913 1200   18880829 1200  351.0  1   671995.0 162990.0  2675.0   4  -243   900   1  -2187   1   1    55    45    32   0  merc
        III   18870915 1200   18880915 1200  366.0  1   672167.0 163038.0  2653.0   4    74   900   1    666   1   1    46    45     9   0  merc
         IV   18870915 1200   18880915 1200  366.0  1   672850.0 162975.0  2777.0   3   -45   900   1   -405   1   1    45    45     6   0  merc
         IX   18870915 1200   18880915 1200  366.0  1   671662.0 164218.0  2965.0   4    40   539   6    215   1   1    37    26    25   0  merc
          V   18870915 1200   18880915 1200  366.0  1   672950.0 162750.0  2780.0   3  -212   900   1  -1908   1   1    53    45    28   0  merc
         VI   18870915 1200   18880915 1200  366.0  1   673425.0 162650.0  2792.0   3    83   539   6    447   1   1    60    26    53   0  merc
      ja_dr   18871005 1200   18881017 1200  378.0  1   672200.0 159875.0  2417.0   4  -354   900   1  -3186   1   1    65    45    47   0  merc
