     velsurf       thk_regu           glen
     26.1903        30.2471        -0.8906
     26.9899        30.6300        -0.8906
     26.9933        30.3371        -0.8906
     26.9967        30.0959        -0.8906
     27.0001        29.8843        -0.8906
     27.0036        29.6913        -0.8906
     27.0072        29.5113        -0.8906
     27.0110        29.3409        -0.8906
     27.0149        29.1777        -0.8906
     27.0194        29.0201        -0.8906
     27.0238        28.8669        -0.8906
     27.0287        28.7174        -0.8906
     27.0338        28.5707        -0.8906
     27.0392        28.4264        -0.8906
     27.0448        28.2841        -0.8906
     27.0509        28.1434        -0.8906
     27.0573        28.0041        -0.8906
     27.0636        27.8659        -0.8906
     27.0705        27.7288        -0.8906
     27.0776        27.5925        -0.8906
     27.0853        27.4569        -0.8906
     27.0933        27.3221        -0.8906
     27.1012        27.1878        -0.8906
     27.1099        27.0541        -0.8906
     27.1188        26.9208        -0.8906
     27.1283        26.7880        -0.8906
     27.1382        26.6556        -0.8906
     27.1482        26.5234        -0.8906
     27.1587        26.3917        -0.8906
     27.1697        26.2603        -0.8906
     27.1810        26.1292        -0.8906
     27.1926        25.9984        -0.8906
     27.2047        25.8680        -0.8906
     27.2172        25.7379        -0.8906
     27.2301        25.6082        -0.8906
     27.2434        25.4786        -0.8906
     27.2572        25.3493        -0.8906
     27.2715        25.2203        -0.8906
     27.2861        25.0917        -0.8906
     27.3013        24.9634        -0.8906
     27.3168        24.8355        -0.8906
     27.3327        24.7079        -0.8906
     27.3489        24.5808        -0.8906
     27.3656        24.4540        -0.8906
     27.3826        24.3277        -0.8906
     27.4004        24.2018        -0.8906
     27.4183        24.0764        -0.8906
     27.4366        23.9516        -0.8906
     27.4552        23.8272        -0.8906
     27.4745        23.7035        -0.8423
     24.6015        23.5804        -0.8423
     24.6156        23.4550        -0.8423
     24.6337        23.3264        -0.8423
     24.6527        23.1984        -0.8423
     24.6721        23.0709        -0.8423
     24.6916        22.9442        -0.8423
     24.7116        22.8183        -0.8423
     24.7317        22.6932        -0.8423
     24.7521        22.5687        -0.8423
     24.7729        22.4451        -0.8423
     24.7938        22.3222        -0.8423
     24.8151        22.2001        -0.8423
     24.8368        22.0787        -0.8423
     24.8585        21.9582        -0.8423
     24.8810        21.8384        -0.8423
     24.9034        21.7195        -0.8423
     24.9263        21.6013        -0.8423
     24.9495        21.4841        -0.8423
     24.9729        21.3676        -0.8423
     24.9967        21.2520        -0.8423
     25.0211        21.1371        -0.8423
     25.0455        21.0231        -0.8423
     25.0703        20.9100        -0.8423
     25.0951        20.7977        -0.8423
     25.1204        20.6865        -0.8423
     25.1458        20.5762        -0.8423
     25.1713        20.4669        -0.8423
     25.1975        20.3587        -0.8423
     25.2234        20.2515        -0.8423
     25.2500        20.1455        -0.8423
     25.2764        20.0405        -0.8423
     25.3019        19.9367        -0.8423
     25.3283        19.8340        -0.8423
     25.3539        19.7324        -0.8423
     25.3804        19.6319        -0.8423
     25.4060        19.5325        -0.8423
     25.4321        19.4343        -0.8423
     25.4580        19.3372        -0.8423
     25.4844        19.2411        -0.8423
     25.5105        19.1462        -0.8423
     25.5344        19.0523        -0.8423
     25.5628        18.9596        -0.8423
     25.5882        18.8678        -0.8423
     25.6150        18.7773        -0.8423
     25.6392        18.6878        -0.8423
     25.6666        18.5996        -0.8423
     25.6922        18.5125        -0.8423
     25.7171        18.4268        -0.8423
     25.7400        18.3421        -0.8423
     25.7666        18.2588        -0.6058
     27.6665        18.1763        -0.6058
     27.6786        18.1150        -0.6058
     27.6926        18.0500        -0.6058
     27.7100        17.9873        -0.6058
     27.7250        17.9251        -0.6058
     27.7413        17.8640        -0.6058
     27.7565        17.8027        -0.6058
     27.7754        17.7424        -0.6058
     27.7916        17.6824        -0.6058
     27.8092        17.6235        -0.6058
     27.8246        17.5652        -0.6058
     27.8431        17.5082        -0.6058
     27.8601        17.4519        -0.6058
     27.8768        17.3968        -0.6058
     27.8923        17.3422        -0.6058
     27.9098        17.2887        -0.6058
     27.9265        17.2359        -0.6058
     27.9426        17.1845        -0.6058
     27.9571        17.1338        -0.6058
     27.9735        17.0846        -0.6058
     27.9891        17.0360        -0.6058
     28.0034        16.9888        -0.6058
     28.0167        16.9423        -0.6058
     28.0309        16.8976        -0.6058
     28.0447        16.8534        -0.6058
     28.0567        16.8109        -0.6058
     28.0680        16.7688        -0.6058
     28.0807        16.7278        -0.6058
     28.0918        16.6871        -0.6058
     28.1050        16.6474        -0.6058
     28.1150        16.6078        -0.6058
     28.1289        16.5692        -0.6058
     28.1395        16.5308        -0.6058
     28.1522        16.4937        -0.6058
     28.1628        16.4570        -0.6058
     28.1737        16.4215        -0.6058
     28.1835        16.3863        -0.6058
     28.1945        16.3522        -0.6058
     28.2038        16.3183        -0.6058
     28.2139        16.2853        -0.6058
     28.2238        16.2525        -0.6058
     28.2355        16.2206        -0.6058
     28.2437        16.1888        -0.6058
     28.2559        16.1580        -0.6058
     28.2635        16.1272        -0.6058
     28.2745        16.0972        -0.6058
     28.2829        16.0671        -0.6058
     28.2950        16.0380        -0.6058
     28.3021        16.0091        -0.6058
     28.3133        15.9814        -0.4995
     30.9361        15.9539        -0.4995
     30.9413        15.9367        -0.4995
     30.9453        15.9194        -0.4995
     30.9475        15.9032        -0.4995
     30.9518        15.8872        -0.4995
     30.9558        15.8721        -0.4995
     30.9586        15.8568        -0.4995
     30.9613        15.8424        -0.4995
     30.9663        15.8276        -0.4995
     30.9682        15.8134        -0.4995
     30.9729        15.7990        -0.4995
     30.9741        15.7852        -0.4995
     30.9804        15.7712        -0.4995
     30.9832        15.7578        -0.4995
     30.9875        15.7443        -0.4995
     30.9897        15.7317        -0.4995
     30.9943        15.7190        -0.4995
     30.9970        15.7072        -0.4995
     31.0010        15.6952        -0.4995
     31.0029        15.6840        -0.4995
     31.0070        15.6727        -0.4995
     31.0103        15.6622        -0.4995
     31.0126        15.6516        -0.4995
     31.0150        15.6418        -0.4995
     31.0177        15.6319        -0.4995
     31.0214        15.6226        -0.4995
     31.0227        15.6130        -0.4995
     31.0259        15.6041        -0.4995
     31.0272        15.5950        -0.4995
     31.0312        15.5866        -0.4995
     31.0318        15.5780        -0.4995
     31.0355        15.5701        -0.4995
     31.0355        15.5622        -0.4995
     31.0398        15.5549        -0.4995
     31.0390        15.5476        -0.4995
     31.0436        15.5408        -0.4995
     31.0431        15.5337        -0.4995
     31.0472        15.5272        -0.4995
     31.0463        15.5204        -0.4995
     31.0496        15.5140        -0.4995
     31.0492        15.5073        -0.4995
     31.0532        15.5011        -0.4995
     31.0523        15.4945        -0.4995
     31.0556        15.4884        -0.4995
     31.0550        15.4821        -0.4995
     31.0594        15.4763        -0.4995
     31.0578        15.4702        -0.4995
     31.0614        15.4648        -0.4995
     31.0610        15.4591        -0.4995
     31.0647        15.4540        -0.4810
     33.2785        15.4486        -0.4810
     33.2782        15.4471        -0.4810
     33.2750        15.4457        -0.4810
     33.2744        15.4449        -0.4810
     33.2695        15.4439        -0.4810
     33.2682        15.4434        -0.4810
     33.2654        15.4425        -0.4810
     33.2631        15.4421        -0.4810
     33.2589        15.4413        -0.4810
     33.2570        15.4408        -0.4810
     33.2532        15.4400        -0.4810
     33.2516        15.4395        -0.4810
     33.2489        15.4385        -0.4810
     33.2477        15.4377        -0.4810
     33.2453        15.4364        -0.4810
     33.2453        15.4354        -0.4810
     33.2425        15.4340        -0.4810
     33.2422        15.4328        -0.4810
     33.2402        15.4313        -0.4810
     33.2403        15.4300        -0.4810
     33.2385        15.4283        -0.4810
     33.2399        15.4268        -0.4810
     33.2369        15.4250        -0.4810
     33.2383        15.4236        -0.4810
     33.2361        15.4217        -0.4810
     33.2371        15.4202        -0.4810
     33.2360        15.4184        -0.4810
     33.2357        15.4169        -0.4810
     33.2347        15.4152        -0.4810
     33.2346        15.4140        -0.4810
     33.2341        15.4125        -0.4810
     33.2332        15.4115        -0.4810
     33.2327        15.4102        -0.4810
     33.2318        15.4094        -0.4810
     33.2317        15.4082        -0.4810
     33.2305        15.4074        -0.4810
     33.2316        15.4063        -0.4810
     33.2292        15.4057        -0.4810
     33.2304        15.4048        -0.4810
     33.2278        15.4043        -0.4810
     33.2291        15.4036        -0.4810
     33.2266        15.4032        -0.4810
     33.2277        15.4025        -0.4810
