        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf       vol
3.6104044914 18.2979831696 -26.7984733582 33.5690345764 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7183246613
3.5616817474 18.2753849030 -26.8139934540 33.5644073486 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.7045078278
3.5173606873 18.2582530975 -26.8241386414 33.5544052124 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6919403076
3.4750642776 18.2440605164 -26.8332195282 33.5455284119 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6799468994
3.4341144562 18.2315444946 -26.8420314789 33.5375671387 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6683340073
3.3938031197 18.2211570740 -26.8505134583 33.5299263000 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6569032669
3.3538966179 18.2123813629 -26.8589076996 33.5226860046 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6455879211
3.3141722679 18.2051982880 -26.8671073914 33.5155410767 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6343231201
3.2743771076 18.1993083954 -26.8754501343 33.5084724426 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6230392456
3.2342188358 18.1947422028 -26.8837871552 33.5016899109 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6116514206
3.1935501099 18.1912136078 -26.8922290802 33.4949111938 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.6001195908
3.1522693634 18.1887283325 -26.9008350372 33.4883003235 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5884151459
3.1102702618 18.1872234344 -26.9095954895 33.4816169739 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5765056610
3.0674548149 18.1867084503 -26.9187374115 33.4749908447 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5643644333
3.0238242149 18.1872272491 -26.9279747009 33.4683074951 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5519905090
2.9793050289 18.1888618469 -26.9374542236 33.4616241455 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5393686295
2.9338798523 18.1916637421 -26.9472789764 33.4548645020 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5264873505
2.8874800205 18.1955108643 -26.9573078156 33.4482879639 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.5133295059
2.8401911259 18.2004051208 -26.9677104950 33.4417381287 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4999217987
2.7919096947 18.2063083649 -26.9783363342 33.4349746704 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4862298965
2.7427508831 18.2133064270 -26.9893589020 33.4282798767 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4722909927
2.6925487518 18.2214031219 -27.0005149841 33.4216842651 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4580554962
2.6413877010 18.2306976318 -27.0121307373 33.4149093628 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4435491562
2.5890281200 18.2411327362 -27.0240211487 33.4082679749 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4287014008
2.5356364250 18.2527942657 -27.0367298126 33.4014968872 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.4135627747
2.4810121059 18.2658424377 -27.0493106842 33.3947639465 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3980722427
2.4253251553 18.2800502777 -27.0622596741 33.3882102966 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3822813034
2.3684570789 18.2957077026 -27.0754833221 33.3815765381 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3661565781
2.3106021881 18.3126163483 -27.0891513824 33.3749313354 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3497505188
2.2515799999 18.3310565948 -27.1031608582 33.3683471680 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3330135345
2.1914944649 18.3507480621 -27.1174812317 33.3616752625 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.3159761429
2.1302747726 18.3720092773 -27.1321487427 33.3552360535 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2986173630
2.0680549145 18.3945903778 -27.1473751068 33.3487129211 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2809734344
2.0046200752 18.4187984467 -27.1629047394 33.3423881531 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2629861832
1.9401108027 18.4444332123 -27.1787662506 33.3360061646 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2446947098
1.8744635582 18.4714870453 -27.1951103210 33.3295631409 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2260789871
1.8078156710 18.4999065399 -27.2120609283 33.3231430054 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.2071809769
1.7400622368 18.5300273895 -27.2290897369 33.3169250488 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.1879692078
1.6713393927 18.5615291595 -27.2464904785 33.3107643127 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.1684808731
1.6015495062 18.5947475433 -27.2643795013 33.3045806885 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.1486921310
1.5308722258 18.6292972565 -27.2824840546 33.2983894348 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.1286506653
1.4590700865 18.6656589508 -27.3009605408 33.2924766541 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.1082897186
1.3863759041 18.7033824921 -27.3198928833 33.2864189148 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.0876770020
1.3125330210 18.7427272797 -27.3392295837 33.2805519104 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.0667381287
1.2378757000 18.7833213806 -27.3589668274 33.2747535706 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.0455675125
1.1621388197 18.8254737854 -27.3790130615 33.2688446045 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.0240917206
1.0856511593 18.8688354492 -27.3994541168 33.2630233765 0.0000000000 0.0000000000 13.9437055588 30.6557617188 13.0024051666
1.0081344843 18.9136276245 -27.4209804535 33.2571258545 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.9804229736
0.9299082756 18.9596538544 -27.4420337677 33.2513160706 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.9582405090
0.8506643176 19.0071697235 -27.4634456635 33.2456016541 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.9357709885
0.7626379132 19.0293903351 -21.6355190277 32.8611755371 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.9108104706
0.6706521511 19.0582141876 -21.6661624908 32.8479385376 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.8847255707
0.5777246952 19.0884723663 -21.7000141144 32.8362922668 0.0000000000 0.0000000000 13.9437055588 30.6557617188 12.8583765030
